Name,x,y,normal,undiff,well_diff,Class
Tile 5,921.0,1552.0,2.640919427587818E-10,1.0,1.245167413621573E-9,undiff
Tile 12,1947.0,1552.0,1.1989368509492462E-14,1.0,1.3344426407521474E-14,undiff
Tile 13,2460.0,1040.0,3.1891251250047714E-14,1.0,5.753332380821485E-14,undiff
Tile 14,2460.0,1552.0,5.174373950145306E-12,1.0,5.729334541515474E-12,undiff
Tile 17,2973.0,1552.0,0.0013223541900515556,0.9861728549003601,0.012504768557846546,undiff
Tile 20,3486.0,1040.0,5.4725450245648316E-14,1.0,2.2807621134594835E-13,undiff
Tile 21,3486.0,1552.0,4.420211696665177E-10,1.0,1.8081141028858383E-9,undiff
Tile 22,3486.0,2064.0,2.4167506781610018E-14,1.0,7.590706085610147E-14,undiff
Tile 25,3999.0,1552.0,1.2660772874539816E-8,0.9999998807907104,6.572962973905305E-8,undiff
Tile 29,4512.0,1552.0,6.92199797480697E-10,1.0,3.330099529463837E-9,undiff
Tile 32,4512.0,81936.0,2.4632512623059578E-14,1.0,2.500286253265347E-14,undiff
Tile 41,4512.0,86544.0,2.431744909603406E-11,1.0,2.430172903189476E-11,undiff
Tile 42,4512.0,87056.0,7.3569267442508135E-6,0.9999768733978271,1.5800094843143597E-5,undiff
Tile 44,5025.0,1040.0,5.431068927919114E-9,1.0,6.272776076343689E-9,undiff
Tile 45,5025.0,1552.0,1.5333281578772963E-15,1.0,1.7509420393343588E-15,undiff
Tile 46,5025.0,79376.0,7.920371913883173E-9,1.0,8.046680655127147E-9,undiff
Tile 49,5025.0,80912.0,3.779190502206653E-11,1.0,1.9655017891029303E-10,undiff
Tile 59,5025.0,86032.0,6.339221682305496E-15,1.0,1.3530516117243874E-11,undiff
Tile 60,5025.0,86544.0,1.0394796460221067E-13,1.0,9.373745703256109E-12,undiff
Tile 61,5025.0,87056.0,7.38226320351476E-12,1.0,2.6603601543939703E-9,undiff
Tile 62,5025.0,87568.0,3.1760417186887935E-5,0.9968307614326477,0.00313745834864676,undiff
Tile 64,5025.0,88592.0,3.238407875194582E-10,1.0,2.4972994783212243E-9,undiff
Tile 69,5538.0,1552.0,1.4245332344287043E-14,1.0,1.5771875450619477E-14,undiff
Tile 76,5538.0,79888.0,1.896407683665835E-11,1.0,2.0611044121432442E-11,undiff
Tile 83,5538.0,83472.0,2.4886084946246223E-12,1.0,2.69094533981995E-12,undiff
Tile 87,5538.0,85520.0,2.874243182304781E-5,0.9998828172683716,8.842146053211764E-5,undiff
