Name,x,y,normal,undiff,well_diff,Class
Tile 3,5837.0,74224.0,2.298138390699478E-8,0.9999997615814209,2.355693879962928E-7,undiff
Tile 5,5837.0,75248.0,5.378215095497296E-10,1.0,5.373344547088266E-10,undiff
Tile 6,6350.0,72688.0,2.6466562994079687E-15,1.0,2.9434496561040607E-15,undiff
Tile 11,6350.0,75248.0,3.559654515594701E-10,1.0,2.924677611204629E-9,undiff
Tile 18,7376.0,72688.0,9.906880222843029E-6,0.9999195337295532,7.059553900035098E-5,undiff
Tile 19,7376.0,73200.0,3.2320899663318414E-6,0.9996825456619263,3.142883360851556E-4,undiff
Tile 23,7376.0,75248.0,9.359637370698337E-11,1.0,9.932581146454567E-11,undiff
Tile 25,7889.0,74224.0,8.181623374669059E-15,1.0,8.768631606676392E-15,undiff
Tile 5,17486.0,9056.0,2.7564971105675795E-7,0.9999986886978149,1.080434685718501E-6,undiff
Tile 6,17486.0,9568.0,7.923306108437167E-12,1.0,2.7772140490101016E-11,undiff
Tile 8,17999.0,8544.0,4.148876905674115E-5,0.9998732805252075,8.515873923897743E-5,undiff
Tile 9,17999.0,9056.0,1.317540691212751E-14,1.0,6.907225713701642E-14,undiff
Tile 10,17999.0,9568.0,3.356612676610332E-14,1.0,1.560851464353294E-13,undiff
Tile 13,18512.0,9056.0,2.1302266395650804E-4,0.9985210299491882,0.0012659919448196888,undiff
Tile 14,18512.0,9568.0,0.0014156948309391737,0.9805334806442261,0.018050840124487877,undiff
Tile 16,19025.0,8544.0,7.579682992364667E-10,1.0,8.244130933476868E-10,undiff
Tile 1,-105.0,1552.0,4.9273456426135454E-8,0.9999940395355225,5.857358701177873E-6,undiff
Tile 5,921.0,1552.0,2.640919427587818E-10,1.0,1.245167413621573E-9,undiff
Tile 6,1434.0,528.0,5.534354308167622E-9,1.0,2.6953685505759495E-8,undiff
Tile 8,1434.0,1552.0,3.7982121284585446E-5,0.9993252754211426,6.367481546476483E-4,undiff
Tile 12,1947.0,1552.0,6.969128321442997E-15,1.0,4.1257992302538155E-14,undiff
Tile 14,2460.0,1552.0,8.2299187581017755E-16,1.0,9.190177246393518E-16,undiff
Tile 17,2973.0,1552.0,7.726580486533408E-11,1.0,9.726734973014572E-10,undiff
Tile 20,3486.0,1040.0,0.001433500787243247,0.9971237778663635,0.0014426646521314979,undiff
Tile 21,3486.0,1552.0,2.6456358805104774E-12,1.0,1.5261448355063933E-11,undiff
